#Table1
plate,mjd,fiberid,z,subclass,e_bv_sfd,h_beta_flux,h_beta_eqw,oiii_h_beta_flux_ratio,oiii_h_gamma_flux_ratio,h_beta_h_gamma_flux_ratio
655,52162,498,0.05488811,,0.03704821,36.97847,-0.4625452,0.952164,14.22255,14.93708
762,52232,498,0.2543997,STARBURST BROADLINE,0.028514,4576.92,-15.03455,1.509214,3.276532,2.17102
900,52637,296,0.05031559,,0.01903607,12.28783,-0.03092102,1.879409,2.48495,1.322198
1721,53857,100,0.2017623,,0.03747286,539.4926,-3.183425,0.1143321,0.1453033,1.270888
1871,53384,178,0.1397043,BROADLINE,0.0433805,553.1812,-6.179073,0.9377232,1.402383,1.495519
2356,53786,575,0.210506,STARBURST BROADLINE,0.01728246,1899.59,-14.41513,0.5594723,0.9942271,1.77708
278,51900,527,0.09478367,STARBURST BROADLINE,0.03967275,1421.419,-11.29103,0.4972242,0.9722104,1.955276
491,51942,494,0.05626343,,0.01237072,23.05058,-0.424467,0.7073347,0.6494203,0.9181229
495,51988,207,0.2817113,BROADLINE,0.02384331,1639.537,-20.40405,0.4739082,1.099618,2.320319
564,52224,322,0.060387,STARBURST BROADLINE,0.03116452,1887.681,-21.58853,0.7621899,1.650507,2.16548
2294,53733,566,0.1222322,BROADLINE,0.02039093,2432.885,-16.82288,0.9239256,1.960151,2.121547
412,52254,131,0.08017954,BROADLINE,0.06504875,2887.279,-12.56074,0.5667979,1.216552,2.14636
542,51993,55,0.06470897,,0.04999544,0.7176209,-0.05649709,18.68541,1.672545,0.08951077
624,52377,629,0.2622212,STARBURST BROADLINE,0.01507206,1245.307,-22.66697,0.693274,1.751494,2.52641
644,52173,541,0.05894792,BROADLINE,0.03713184,92.86768,-0.8762947,0.9640221,1.171725,1.215455
1060,52636,293,0.1207952,STARBURST BROADLINE,0.04288088,1886.237,-27.91396,0.3895285,0.8198016,2.1046
1218,52709,54,0.05502596,STARBURST BROADLINE,0.01521724,3987.076,-23.61081,0.3048607,0.6539056,2.144933
